split,model,category,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks,constant_velocity,all,horizon,5,1668,2.3672,0.9258,6.1545,0.0
member2_canonical_tracks,constant_velocity,all,horizon,10,1668,4.8336,1.716,14.3129,0.0
member2_canonical_tracks,constant_velocity,all,horizon,15,1668,8.1079,2.3758,25.9769,0.0
member2_canonical_tracks,constant_velocity,all,horizon,30,1668,22.4963,3.9697,89.8046,0.0
member2_canonical_tracks,constant_velocity,all,ADE,30,1668,9.4512,2.2691,34.3617,0.0
member2_canonical_tracks,constant_velocity,stable,horizon,5,1506,1.9105,0.7676,4.5819,0.0
member2_canonical_tracks,constant_velocity,stable,horizon,10,1506,3.919,1.4844,10.501,0.0
member2_canonical_tracks,constant_velocity,stable,horizon,15,1506,6.6588,2.1153,20.494,0.0
member2_canonical_tracks,constant_velocity,stable,horizon,30,1506,18.4944,3.5609,75.4077,0.0
member2_canonical_tracks,constant_velocity,stable,ADE,30,1506,7.7457,2.0265,29.2717,0.0
member2_canonical_tracks,constant_velocity,turning,horizon,5,87,9.3101,6.8128,20.9802,0.0
member2_canonical_tracks,constant_velocity,turning,horizon,10,87,19.1417,14.2646,39.4114,0.0
member2_canonical_tracks,constant_velocity,turning,horizon,15,87,31.2579,23.9461,67.9797,0.0
member2_canonical_tracks,constant_velocity,turning,horizon,30,87,89.1402,77.8115,191.8998,0.0
member2_canonical_tracks,constant_velocity,turning,ADE,30,87,37.2125,34.3453,78.9433,0.0
member2_canonical_tracks,constant_velocity,speed_change,horizon,5,75,3.483,3.0727,5.476,0.0
member2_canonical_tracks,constant_velocity,speed_change,horizon,10,75,6.6023,5.7838,10.4435,0.0
member2_canonical_tracks,constant_velocity,speed_change,horizon,15,75,10.3524,8.297,16.153,0.0
member2_canonical_tracks,constant_velocity,speed_change,horizon,30,75,25.5469,17.6326,63.8609,0.0
member2_canonical_tracks,constant_velocity,speed_change,ADE,30,75,11.4961,8.9741,20.8929,0.0
member2_canonical_tracks,constant_velocity,dynamic,horizon,5,162,6.6123,4.1733,16.2614,0.0
member2_canonical_tracks,constant_velocity,dynamic,horizon,10,162,13.3364,7.8668,34.201,0.0
member2_canonical_tracks,constant_velocity,dynamic,horizon,15,162,21.5794,13.6083,47.8345,0.0
member2_canonical_tracks,constant_velocity,dynamic,horizon,30,162,59.6989,27.7626,151.0951,0.0
member2_canonical_tracks,constant_velocity,dynamic,ADE,30,162,25.3068,15.1122,59.2291,0.0
member2_canonical_tracks,local_history_ungated,all,horizon,5,1668,2.248,0.8037,6.3059,5.035
member2_canonical_tracks,local_history_ungated,all,horizon,10,1668,4.4846,1.4768,13.951,7.2208
member2_canonical_tracks,local_history_ungated,all,horizon,15,1668,7.3333,2.0727,24.4521,9.5545
member2_canonical_tracks,local_history_ungated,all,horizon,30,1668,20.0902,3.7868,76.9767,10.6953
member2_canonical_tracks,local_history_ungated,all,ADE,30,1668,8.539,2.1024,30.41,9.652
member2_canonical_tracks,local_history_ungated,stable,horizon,5,1506,1.8584,0.6803,4.4183,2.7276
member2_canonical_tracks,local_history_ungated,stable,horizon,10,1506,3.6551,1.3001,9.7224,6.7332
member2_canonical_tracks,local_history_ungated,stable,horizon,15,1506,5.9997,1.8325,18.1667,9.8976
member2_canonical_tracks,local_history_ungated,stable,horizon,30,1506,16.484,3.2917,61.2053,10.8705
member2_canonical_tracks,local_history_ungated,stable,ADE,30,1506,6.9993,1.806,24.9601,9.636
member2_canonical_tracks,local_history_ungated,turning,horizon,5,87,8.5926,6.5083,19.2461,7.7063
member2_canonical_tracks,local_history_ungated,turning,horizon,10,87,18.0225,14.4919,36.167,5.8467
member2_canonical_tracks,local_history_ungated,turning,horizon,15,87,29.1709,25.5629,60.2526,6.6767
member2_canonical_tracks,local_history_ungated,turning,horizon,30,87,80.5918,72.9455,163.4078,9.5899
member2_canonical_tracks,local_history_ungated,turning,ADE,30,87,34.0944,29.5793,68.4417,8.379
member2_canonical_tracks,local_history_ungated,speed_change,horizon,5,75,2.7109,2.2534,4.6079,22.166
member2_canonical_tracks,local_history_ungated,speed_change,horizon,10,75,5.4368,4.4956,9.0459,17.6527
member2_canonical_tracks,local_history_ungated,speed_change,horizon,15,75,8.7786,6.5915,14.1264,15.2023
member2_canonical_tracks,local_history_ungated,speed_change,horizon,30,75,22.3223,15.6608,48.6033,12.6222
member2_canonical_tracks,local_history_ungated,speed_change,ADE,30,75,9.8122,7.5903,16.8768,14.6482
member2_canonical_tracks,local_history_ungated,dynamic,horizon,5,162,5.8696,3.4033,14.5915,11.2325
member2_canonical_tracks,local_history_ungated,dynamic,horizon,10,162,12.1958,7.296,29.4587,8.5526
member2_canonical_tracks,local_history_ungated,dynamic,horizon,15,162,19.73,12.4084,45.9001,8.5703
member2_canonical_tracks,local_history_ungated,dynamic,horizon,30,162,53.6152,24.9059,138.6382,10.1906
member2_canonical_tracks,local_history_ungated,dynamic,ADE,30,162,22.8526,13.7924,55.3456,9.6975
member2_canonical_tracks,local_history_gated,all,horizon,5,1668,2.295,0.9215,6.0448,3.0473
member2_canonical_tracks,local_history_gated,all,horizon,10,1668,4.7228,1.7123,14.1952,2.2918
member2_canonical_tracks,local_history_gated,all,horizon,15,1668,7.9283,2.3704,26.7734,2.2154
member2_canonical_tracks,local_history_gated,all,horizon,30,1668,21.9054,3.9697,88.2747,2.6265
member2_canonical_tracks,local_history_gated,all,ADE,30,1668,9.2129,2.2691,34.0899,2.5219
member2_canonical_tracks,local_history_gated,stable,horizon,5,1506,1.9105,0.7676,4.5819,0.0
member2_canonical_tracks,local_history_gated,stable,horizon,10,1506,3.919,1.4844,10.501,0.0
member2_canonical_tracks,local_history_gated,stable,horizon,15,1506,6.6588,2.1153,20.494,0.0
member2_canonical_tracks,local_history_gated,stable,horizon,30,1506,18.4944,3.5609,75.4077,0.0
member2_canonical_tracks,local_history_gated,stable,ADE,30,1506,7.7457,2.0265,29.2717,0.0
member2_canonical_tracks,local_history_gated,turning,horizon,5,87,8.5926,6.5083,19.2461,7.7063
member2_canonical_tracks,local_history_gated,turning,horizon,10,87,18.0225,14.4919,36.167,5.8467
member2_canonical_tracks,local_history_gated,turning,horizon,15,87,29.1709,25.5629,60.2526,6.6767
member2_canonical_tracks,local_history_gated,turning,horizon,30,87,80.5918,72.9455,163.4078,9.5899
member2_canonical_tracks,local_history_gated,turning,ADE,30,87,34.0944,29.5793,68.4417,8.379
member2_canonical_tracks,local_history_gated,speed_change,horizon,5,75,2.7109,2.2534,4.6079,22.166
member2_canonical_tracks,local_history_gated,speed_change,horizon,10,75,5.4368,4.4956,9.0459,17.6527
member2_canonical_tracks,local_history_gated,speed_change,horizon,15,75,8.7786,6.5915,14.1264,15.2023
member2_canonical_tracks,local_history_gated,speed_change,horizon,30,75,22.3223,15.6608,48.6033,12.6222
member2_canonical_tracks,local_history_gated,speed_change,ADE,30,75,9.8122,7.5903,16.8768,14.6482
member2_canonical_tracks,local_history_gated,dynamic,horizon,5,162,5.8696,3.4033,14.5915,11.2325
member2_canonical_tracks,local_history_gated,dynamic,horizon,10,162,12.1958,7.296,29.4587,8.5526
member2_canonical_tracks,local_history_gated,dynamic,horizon,15,162,19.73,12.4084,45.9001,8.5703
member2_canonical_tracks,local_history_gated,dynamic,horizon,30,162,53.6152,24.9059,138.6382,10.1906
member2_canonical_tracks,local_history_gated,dynamic,ADE,30,162,22.8526,13.7924,55.3456,9.6975
member2_canonical_tracks2,constant_velocity,all,horizon,5,5400,3.2924,2.4105,6.6258,0.0
member2_canonical_tracks2,constant_velocity,all,horizon,10,5400,7.2835,5.0329,15.539,0.0
member2_canonical_tracks2,constant_velocity,all,horizon,15,5400,12.9266,8.5196,28.74,0.0
member2_canonical_tracks2,constant_velocity,all,horizon,30,5400,46.8287,29.9483,116.0362,0.0
member2_canonical_tracks2,constant_velocity,all,ADE,30,5400,17.5828,11.7228,39.8671,0.0
member2_canonical_tracks2,constant_velocity,stable,horizon,5,2906,3.3799,2.2952,7.3214,0.0
member2_canonical_tracks2,constant_velocity,stable,horizon,10,2906,8.0197,5.1393,18.2676,0.0
member2_canonical_tracks2,constant_velocity,stable,horizon,15,2906,15.1981,10.0428,36.1391,0.0
member2_canonical_tracks2,constant_velocity,stable,horizon,30,2906,59.8865,43.9354,134.0909,0.0
member2_canonical_tracks2,constant_velocity,stable,ADE,30,2906,21.6211,15.9246,46.931,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,5,1687,3.1461,2.4936,5.8508,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,10,1687,6.0282,4.605,11.201,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,15,1687,9.3076,6.8676,17.6119,0.0
member2_canonical_tracks2,constant_velocity,turning,horizon,30,1687,26.0319,18.9602,52.7119,0.0
member2_canonical_tracks2,constant_velocity,turning,ADE,30,1687,11.1284,8.3565,21.2118,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,5,807,3.2832,2.5899,6.4109,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,10,807,7.2567,5.6602,15.1414,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,15,807,12.3124,9.2074,26.7708,0.0
member2_canonical_tracks2,constant_velocity,speed_change,horizon,30,807,43.2827,28.3043,104.1299,0.0
member2_canonical_tracks2,constant_velocity,speed_change,ADE,30,807,16.5337,11.4297,36.6907,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,5,2494,3.1904,2.5148,5.9729,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,10,2494,6.4257,4.9006,12.5708,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,15,2494,10.2799,7.5144,20.6572,0.0
member2_canonical_tracks2,constant_velocity,dynamic,horizon,30,2494,31.6138,20.7929,76.0934,0.0
member2_canonical_tracks2,constant_velocity,dynamic,ADE,30,2494,12.8775,9.0329,27.7853,0.0
member2_canonical_tracks2,local_history_ungated,all,horizon,5,5400,3.0864,2.3104,6.0625,6.2555
member2_canonical_tracks2,local_history_ungated,all,horizon,10,5400,6.5916,4.4881,14.1121,9.4992
member2_canonical_tracks2,local_history_ungated,all,horizon,15,5400,11.146,7.1675,24.6027,13.7751
member2_canonical_tracks2,local_history_ungated,all,horizon,30,5400,39.8211,24.5831,99.1433,14.9644
member2_canonical_tracks2,local_history_ungated,all,ADE,30,5400,15.1613,10.0361,34.1557,13.7722
member2_canonical_tracks2,local_history_ungated,stable,horizon,5,2906,3.145,2.2569,6.4588,6.9516
member2_canonical_tracks2,local_history_ungated,stable,horizon,10,2906,7.0612,4.5799,15.6749,11.9518
