split,model,scope,horizon_frames,samples,mean_error_px,median_error_px,p90_error_px,rmse_px,FDE_px,improvement_vs_current_ridge_pct,improvement_vs_cv_pct
member2_canonical_tracks,current_ridge,horizon,5,1668,2.2923,0.9663,5.8165,4.4747,,0.0,3.1606
member2_canonical_tracks,historical_motion,horizon,5,1668,2.248,0.8037,6.3059,4.5222,,1.9355,5.035
member2_canonical_tracks,current_ridge,horizon,10,1668,4.1425,1.7627,11.0545,7.9375,,0.0,14.2985
member2_canonical_tracks,historical_motion,horizon,10,1668,4.4846,1.4768,13.951,9.0478,,-8.2586,7.2208
member2_canonical_tracks,current_ridge,horizon,15,1668,6.6043,2.4096,18.6691,13.0754,,0.0,18.5458
member2_canonical_tracks,historical_motion,horizon,15,1668,7.3333,2.0727,24.4521,15.3837,,-11.0384,9.5545
member2_canonical_tracks,current_ridge,horizon,30,1668,19.8209,3.7852,75.0946,43.0803,,0.0,11.8926
member2_canonical_tracks,historical_motion,horizon,30,1668,20.0902,3.7868,76.9767,45.0104,,-1.3589,10.6953
member2_canonical_tracks,current_ridge,overall,30,1668,8.215,2.2352,28.2585,22.9669,19.8209,0.0,13.0804
member2_canonical_tracks,historical_motion,overall,30,1668,8.539,2.1024,30.41,24.3152,20.0902,-3.9443,9.652
member2_canonical_tracks2,current_ridge,horizon,5,5400,3.2086,2.4103,6.2429,4.7194,,0.0,2.546
member2_canonical_tracks2,historical_motion,horizon,5,5400,3.0864,2.3104,6.0625,4.5868,,3.8064,6.2555
member2_canonical_tracks2,current_ridge,horizon,10,5400,6.7523,4.8512,13.7696,9.8112,,0.0,7.2931
member2_canonical_tracks2,historical_motion,horizon,10,5400,6.5916,4.4881,14.1121,9.7805,,2.3797,9.4992
member2_canonical_tracks2,current_ridge,horizon,15,5400,11.4244,7.7705,24.5417,16.221,,0.0,11.621
member2_canonical_tracks2,historical_motion,horizon,15,5400,11.146,7.1675,24.6027,16.1246,,2.4374,13.7751
member2_canonical_tracks2,current_ridge,horizon,30,5400,40.4657,25.5654,98.8639,55.7511,,0.0,13.5877
member2_canonical_tracks2,historical_motion,horizon,30,5400,39.8211,24.5831,99.1433,55.3208,,1.5932,14.9644
member2_canonical_tracks2,current_ridge,overall,30,5400,15.4628,10.5057,34.0596,29.5374,40.4657,0.0,12.0575
member2_canonical_tracks2,historical_motion,overall,30,5400,15.1613,10.0361,34.1557,29.3133,39.8211,1.9498,13.7722
member2_canonical_tracks3,current_ridge,horizon,5,5554,3.047,2.3588,6.078,4.1007,,0.0,14.1686
member2_canonical_tracks3,historical_motion,horizon,5,5554,3.3234,2.4154,6.7262,4.6443,,-9.0712,6.3827
member2_canonical_tracks3,current_ridge,horizon,10,5554,5.0008,3.897,9.9557,6.785,,0.0,28.4157
member2_canonical_tracks3,historical_motion,horizon,10,5554,6.156,4.3153,12.6404,8.8589,,-23.099,11.8804
member2_canonical_tracks3,current_ridge,horizon,15,5554,6.9807,5.2767,13.843,9.7242,,0.0,38.8395
member2_canonical_tracks3,historical_motion,horizon,15,5554,9.582,6.5479,20.3483,14.0305,,-37.2657,16.0476
member2_canonical_tracks3,current_ridge,horizon,30,5554,16.6755,10.6362,35.7085,26.075,,0.0,44.7745
member2_canonical_tracks3,historical_motion,horizon,30,5554,23.821,14.9965,53.9305,36.4269,,-42.8504,21.1102
member2_canonical_tracks3,current_ridge,overall,30,5554,7.926,5.7424,15.5495,14.4682,16.6755,0.0,39.2002
member2_canonical_tracks3,historical_motion,overall,30,5554,10.7206,7.0643,22.8508,20.1484,23.821,-35.2588,17.7629
member2_canonical_tracks4,current_ridge,horizon,5,21786,3.9091,2.8647,7.5195,6.2916,,0.0,6.1315
member2_canonical_tracks4,historical_motion,horizon,5,21786,3.7017,2.5912,7.4419,5.8949,,5.3075,11.1136
member2_canonical_tracks4,current_ridge,horizon,10,21786,7.5137,5.3158,15.1966,11.7339,,0.0,15.8616
member2_canonical_tracks4,historical_motion,horizon,10,21786,7.5106,4.838,16.671,11.7892,,0.0406,15.8957
member2_canonical_tracks4,current_ridge,horizon,15,21786,13.1821,8.4854,29.2674,20.7558,,0.0,18.4942
member2_canonical_tracks4,historical_motion,horizon,15,21786,13.2171,7.6414,31.5261,21.4863,,-0.2658,18.2775
member2_canonical_tracks4,current_ridge,horizon,30,21786,47.051,22.4883,122.8358,82.4142,,0.0,15.6198
member2_canonical_tracks4,historical_motion,horizon,30,21786,47.5902,20.8782,127.9054,85.9885,,-1.1459,14.6529
member2_canonical_tracks4,current_ridge,overall,30,21786,17.914,10.2471,42.8257,43.0121,47.051,0.0,15.7272
member2_canonical_tracks4,historical_motion,overall,30,21786,18.0049,9.2864,45.2929,44.8035,47.5902,-0.5075,15.2995
ALL_VIDEOS,current_ridge,horizon,5,34408,3.5816,2.15,6.4142,4.8966,,0.0,
ALL_VIDEOS,current_ridge,horizon,10,34408,6.8251,3.9567,12.4941,9.0669,,0.0,
ALL_VIDEOS,current_ridge,horizon,15,34408,11.5864,5.9856,21.5803,14.9441,,0.0,
ALL_VIDEOS,current_ridge,horizon,30,34408,39.7944,15.6188,83.1257,51.8302,,0.0,
ALL_VIDEOS,historical_motion,horizon,5,34408,3.4736,2.0302,6.6341,4.9121,,,
ALL_VIDEOS,historical_motion,horizon,10,34408,7.001,3.7795,14.3436,9.8691,,,
ALL_VIDEOS,historical_motion,horizon,15,34408,12.0201,5.8574,25.2323,16.7563,,,
ALL_VIDEOS,historical_motion,horizon,30,34408,41.201,16.0611,89.489,55.6866,,,
