split,model,scope,horizon_frames,horizon_seconds,samples,mean_error_px,rmse_px,median_error_px,p90_error_px,improvement_vs_cv_pct
member2_canonical_tracks,constant_velocity,horizon,5,0.2,1564,1.9528,3.8857,0.8808,4.431,0.0
member2_canonical_tracks,constant_velocity,horizon,10,0.4,1564,3.8642,7.6378,1.6349,9.676,0.0
member2_canonical_tracks,constant_velocity,horizon,15,0.6,1564,6.3129,12.8568,2.2617,17.8678,0.0
member2_canonical_tracks,constant_velocity,horizon,30,1.2,1564,17.4362,40.2637,3.8033,67.5527,0.0
member2_canonical_tracks,constant_velocity,horizon,45,1.8,1564,33.8209,82.5139,5.204,144.1019,0.0
member2_canonical_tracks,constant_velocity,ADE,45,1.8,1564,12.6774,28.8944,2.7089,51.8029,0.0
member2_canonical_tracks,constant_acceleration,horizon,5,0.2,1564,2.8151,5.3475,1.2999,6.9001,-44.1542
member2_canonical_tracks,constant_acceleration,horizon,10,0.4,1564,9.2915,17.462,4.1158,23.7785,-140.4532
member2_canonical_tracks,constant_acceleration,horizon,15,0.6,1564,19.9731,37.8232,8.7884,49.919,-216.3842
member2_canonical_tracks,constant_acceleration,horizon,30,1.2,1564,78.4188,148.9093,34.7563,200.9472,-349.7467
member2_canonical_tracks,constant_acceleration,horizon,45,1.8,1564,176.6018,334.8558,77.0863,445.8786,-422.1671
member2_canonical_tracks,constant_acceleration,ADE,45,1.8,1564,57.4201,108.5811,25.4437,145.4655,-352.9319
member2_canonical_tracks,core_ridge,horizon,5,0.2,1564,2.0192,3.9191,0.9178,4.7331,-3.3975
member2_canonical_tracks,core_ridge,horizon,10,0.4,1564,3.6123,6.8547,1.7114,8.8347,6.519
member2_canonical_tracks,core_ridge,horizon,15,0.6,1564,5.3686,10.4155,2.354,12.0858,14.9585
member2_canonical_tracks,core_ridge,horizon,30,1.2,1564,14.8348,32.8234,3.7814,49.5523,14.9195
member2_canonical_tracks,core_ridge,horizon,45,1.8,1564,30.0674,71.9899,4.885,127.8455,11.0983
member2_canonical_tracks,core_ridge,ADE,45,1.8,1564,11.1805,24.45,2.6954,41.3252,11.8081
member2_canonical_tracks,acceleration_ridge,horizon,5,0.2,1564,2.009,3.9008,0.9184,4.6537,-2.8755
member2_canonical_tracks,acceleration_ridge,horizon,10,0.4,1564,3.61,6.86,1.7139,8.7195,6.5766
member2_canonical_tracks,acceleration_ridge,horizon,15,0.6,1564,5.3899,10.4853,2.3482,12.1922,14.6205
member2_canonical_tracks,acceleration_ridge,horizon,30,1.2,1564,14.8201,32.7762,3.7835,49.1928,15.004
member2_canonical_tracks,acceleration_ridge,horizon,45,1.8,1564,30.0425,71.9094,4.8929,127.7542,11.1719
member2_canonical_tracks,acceleration_ridge,ADE,45,1.8,1564,11.1743,24.4482,2.6973,41.2271,11.8566
member2_canonical_tracks,history_ridge,horizon,5,0.2,1564,2.5669,5.2098,0.9205,6.9616,-31.4457
member2_canonical_tracks,history_ridge,horizon,10,0.4,1564,5.2977,11.0888,1.7037,16.9131,-37.098
member2_canonical_tracks,history_ridge,horizon,15,0.6,1564,8.7379,19.1389,2.3415,31.547,-38.4123
member2_canonical_tracks,history_ridge,horizon,30,1.2,1564,23.0943,56.0234,3.7185,105.5904,-32.4501
member2_canonical_tracks,history_ridge,horizon,45,1.8,1564,42.3738,106.3241,4.8153,220.5547,-25.2888
member2_canonical_tracks,history_ridge,ADE,45,1.8,1564,16.4141,39.1884,2.6481,78.2034,-29.4753
member2_canonical_tracks,full_ridge,horizon,5,0.2,1564,2.5638,5.2001,0.9206,7.2179,-31.2871
member2_canonical_tracks,full_ridge,horizon,10,0.4,1564,5.2904,11.0652,1.703,17.1052,-36.9089
member2_canonical_tracks,full_ridge,horizon,15,0.6,1564,8.7335,19.1192,2.3414,31.3209,-38.3436
member2_canonical_tracks,full_ridge,horizon,30,1.2,1564,23.0943,56.0233,3.7186,105.662,-32.4501
member2_canonical_tracks,full_ridge,horizon,45,1.8,1564,42.3642,106.298,4.8124,220.4891,-25.2604
member2_canonical_tracks,full_ridge,ADE,45,1.8,1564,16.4092,39.1749,2.6484,77.976,-29.4369
member2_canonical_tracks2,constant_velocity,horizon,5,0.1668,4017,2.8657,4.4864,2.1918,5.466,0.0
member2_canonical_tracks2,constant_velocity,horizon,10,0.3337,4017,5.7513,8.3832,4.3563,11.116,0.0
member2_canonical_tracks2,constant_velocity,horizon,15,0.5005,4017,9.384,12.7193,7.039,18.7952,0.0
member2_canonical_tracks2,constant_velocity,horizon,30,1.001,4017,29.7591,37.7867,23.7618,63.2175,0.0
member2_canonical_tracks2,constant_velocity,horizon,45,1.5015,4017,76.9966,99.8974,56.4082,177.5655,0.0
member2_canonical_tracks2,constant_velocity,ADE,45,1.5015,4017,24.9513,31.4414,19.1578,53.1245,0.0
member2_canonical_tracks2,constant_acceleration,horizon,5,0.1668,4017,8.8532,11.2726,7.4444,17.101,-208.9307
member2_canonical_tracks2,constant_acceleration,horizon,10,0.3337,4017,31.8618,39.7731,26.7198,62.1058,-453.9971
member2_canonical_tracks2,constant_acceleration,horizon,15,0.5005,4017,68.7797,85.8214,57.9708,133.538,-632.9485
member2_canonical_tracks2,constant_acceleration,horizon,30,1.001,4017,263.0559,329.8965,221.13,509.8246,-783.9509
member2_canonical_tracks2,constant_acceleration,horizon,45,1.5015,4017,594.8743,747.2579,493.2947,1163.2597,-672.5984
member2_canonical_tracks2,constant_acceleration,ADE,45,1.5015,4017,193.485,242.558,161.3455,377.5228,-675.4495
member2_canonical_tracks2,core_ridge,horizon,5,0.1668,4017,2.8669,4.4457,2.2545,5.3202,-0.042
member2_canonical_tracks2,core_ridge,horizon,10,0.3337,4017,5.6246,8.1472,4.4095,10.6547,2.2016
member2_canonical_tracks2,core_ridge,horizon,15,0.5005,4017,8.8592,11.9622,6.9164,17.4129,5.5924
member2_canonical_tracks2,core_ridge,horizon,30,1.001,4017,26.2512,33.38,20.6246,55.4942,11.7876
member2_canonical_tracks2,core_ridge,horizon,45,1.5015,4017,70.0903,91.4618,50.7078,160.7595,8.9696
member2_canonical_tracks2,core_ridge,ADE,45,1.5015,4017,22.7385,28.6335,17.6179,47.9873,8.8688
member2_canonical_tracks2,acceleration_ridge,horizon,5,0.1668,4017,2.8499,4.4226,2.2254,5.3061,0.5526
member2_canonical_tracks2,acceleration_ridge,horizon,10,0.3337,4017,5.5998,8.1145,4.38,10.639,2.6342
member2_canonical_tracks2,acceleration_ridge,horizon,15,0.5005,4017,8.8482,11.9406,6.9032,17.4013,5.7091
member2_canonical_tracks2,acceleration_ridge,horizon,30,1.001,4017,26.2761,33.4249,20.6407,55.7262,11.7039
member2_canonical_tracks2,acceleration_ridge,horizon,45,1.5015,4017,70.1104,91.5143,50.7546,160.9144,8.9435
member2_canonical_tracks2,acceleration_ridge,ADE,45,1.5015,4017,22.7369,28.6425,17.5751,48.073,8.875
member2_canonical_tracks2,history_ridge,horizon,5,0.1668,4017,2.8136,4.4046,2.2084,5.1935,1.8183
member2_canonical_tracks2,history_ridge,horizon,10,0.3337,4017,5.499,8.0489,4.2709,10.3574,4.3855
member2_canonical_tracks2,history_ridge,horizon,15,0.5005,4017,8.6124,11.7521,6.7553,16.7195,8.2226
member2_canonical_tracks2,history_ridge,horizon,30,1.001,4017,25.7911,32.9856,20.2196,54.389,13.3338
member2_canonical_tracks2,history_ridge,horizon,45,1.5015,4017,69.6013,91.1568,50.3211,160.6942,9.6047
member2_canonical_tracks2,history_ridge,ADE,45,1.5015,4017,22.4635,28.4388,17.0915,47.658,9.9708
member2_canonical_tracks2,full_ridge,horizon,5,0.1668,4017,2.8101,4.3963,2.2084,5.2097,1.9416
member2_canonical_tracks2,full_ridge,horizon,10,0.3337,4017,5.4919,8.0354,4.2603,10.3742,4.51
member2_canonical_tracks2,full_ridge,horizon,15,0.5005,4017,8.616,11.7476,6.7207,16.7149,8.1842
member2_canonical_tracks2,full_ridge,horizon,30,1.001,4017,25.8508,33.0542,20.214,54.5299,13.1331
member2_canonical_tracks2,full_ridge,horizon,45,1.5015,4017,69.6895,91.276,50.5256,160.8841,9.4901
member2_canonical_tracks2,full_ridge,ADE,45,1.5015,4017,22.4917,28.4752,17.0773,47.7223,9.8579
member2_canonical_tracks3,constant_velocity,horizon,5,0.2,4998,3.5755,4.899,2.5981,7.3895,0.0
member2_canonical_tracks3,constant_velocity,horizon,10,0.4,4998,7.0298,9.8653,4.9043,15.0603,0.0
member2_canonical_tracks3,constant_velocity,horizon,15,0.6,4998,11.4613,16.3867,7.6025,26.2882,0.0
member2_canonical_tracks3,constant_velocity,horizon,30,1.2,4998,30.0527,44.1407,18.4973,75.4442,0.0
member2_canonical_tracks3,constant_velocity,horizon,45,1.8,4998,55.1276,82.2124,33.0198,140.5788,0.0
member2_canonical_tracks3,constant_velocity,ADE,45,1.8,4998,21.4494,31.0789,13.417,52.3503,0.0
member2_canonical_tracks3,constant_acceleration,horizon,5,0.2,4998,4.9336,6.6704,3.7831,9.9239,-37.9829
member2_canonical_tracks3,constant_acceleration,horizon,10,0.4,4998,15.9942,21.5828,12.2743,32.3671,-127.5201
member2_canonical_tracks3,constant_acceleration,horizon,15,0.6,4998,34.7491,46.9086,26.4771,69.5874,-203.1861
member2_canonical_tracks3,constant_acceleration,horizon,30,1.2,4998,136.5619,185.2372,103.4292,273.5813,-354.4075
member2_canonical_tracks3,constant_acceleration,horizon,45,1.8,4998,307.0889,417.2834,232.3246,615.6223,-457.0513
member2_canonical_tracks3,constant_acceleration,ADE,45,1.8,4998,99.8655,135.1933,76.0024,199.9618,-365.5869
member2_canonical_tracks3,core_ridge,horizon,5,0.2,4998,3.095,4.2074,2.382,6.2107,13.4382
